Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Final Price
Apple,MacBook Air,Apple M2,8,512,SSD,iGPU,13.6,1869.0
Asus,Chromebook,Apple M1,8,64,eMMC,iGPU,14.0,449.01
Lenovo,V15,Intel Core i3,8,512,SSD,iGPU,15.6,419.0
MSI,Prestige,Intel Evo Core i5,16,512,SSD,iGPU,14.0,1339.01
HP,EliteBook,Intel Core i5,16,512,SSD,iGPU,14.0,312.83
HP,Victus,Intel Core i7,16,1000,SSD,RTX 3050,16.1,1299.01
HP,Pavilion,AMD Ryzen 7,16,512,SSD,iGPU,14.0,899.01
MSI,Creator,Intel Core i7,16,1000,SSD,RTX 4050,16.0,1749.0
Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4090,18.0,3699.01
Asus,ZenBook,Intel Evo Core i5,16,512,SSD,iGPU,14.0,1199.0
Asus,VivoBook,Intel Core i7,16,512,SSD,iGPU,17.3,999.0
Apple,MacBook Air,Apple M1,16,256,SSD,iGPU,13.3,1349.0
PcCom,Revolt,Intel Core i7,32,500,SSD,RTX 3060,15.6,1549.0
HP,Omen,AMD Ryzen 7,16,1000,SSD,RTX 3060,16.1,1699.01
Asus,TUF,Intel Core i7,16,512,SSD,RTX 3060,15.6,1699.0
Asus,Chromebook,Intel Celeron,8,64,eMMC,iGPU,15.6,382.0
Alurin,Go,Intel Pentium,8,128,SSD,iGPU,14.1,309.91
HP,255,AMD Ryzen 3,8,256,SSD,iGPU,15.6,379.0
Asus,ExpertBook,Intel Core i7,16,512,SSD,iGPU,14.0,2109.0
MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 3050,16.0,1889.0
Dell,Latitude,Intel Core i5,8,256,SSD,iGPU,15.6,789.0
HP,Envy,Intel Evo Core i7,16,1000,SSD,iGPU,13.3,1399.0
Asus,TUF,Intel Core i7,32,1000,SSD,RTX 4060,17.3,1999.0
Asus,VivoBook,Intel Core i3,8,256,SSD,iGPU,15.6,399.0
Apple,MacBook Air,Apple M2,16,256,SSD,iGPU,13.6,1639.01
HP,250,Intel Core i5,16,512,SSD,iGPU,15.6,669.01
Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,iGPU,15.6,511.49
Medion,Deputy,Intel Core i7,16,1000,SSD,RTX 4060,15.6,1529.0
MSI,Summit,Intel Core i7,32,1000,SSD,RTX 4050,16.0,2379.01
Dell,Vostro,Intel Core i5,16,512,SSD,iGPU,15.6,869.0
Asus,M515UA,AMD Ryzen 7,16,512,SSD,iGPU,15.6,699.0
Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4070,18.0,2659.0
Asus,VivoBook,AMD Ryzen 5,16,512,SSD,iGPU,16.0,579.01
Apple,MacBook Air,Apple M2,8,256,SSD,iGPU,15.3,1599.0
MSI,Thin,Intel Core i5,16,512,SSD,RTX 4050,15.6,1199.0
Gigabyte,G5,Intel Core i5,16,512,SSD,RTX 4060,15.6,1189.01
Asus,ZenBook,AMD Ryzen 5,8,512,SSD,iGPU,14.0,809.45
MSI,Creator,Intel Core i7,16,1000,SSD,RTX 3050,16.0,1599.0
Lenovo,ThinkPad,Intel Core i5,16,512,SSD,iGPU,14.0,635.0
HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,1149.0
Apple,MacBook Air,Apple M2,8,512,SSD,iGPU,13.6,1869.0
